Candidates scoring between 625 - 625 points,923,1.60%,923,1.60%
Candidates scoring between 610 - 624 points,841,1.50%,"1,764",3.10%
Candidates scoring between 600 - 609 points,972,1.70%,"2,736",4.80%
Candidates scoring between 590 - 599 points,411,0.70%,"3,147",5.50%
Candidates scoring between 580 - 589 points,640,1.10%,"3,787",6.70%
Candidates scoring between 570 - 579 points,"1,131",2.00%,"4,918",8.70%
Candidates scoring between 560 - 569 points,"1,253",2.20%,"6,171",10.90%
Candidates scoring between 550 - 559 points,"1,306",2.30%,"7,477",13.20%
Candidates scoring between 540 - 549 points,"1,395",2.50%,"8,872",15.60%
Candidates scoring between 530 - 539 points,"1,285",2.30%,"10,157",17.90%
Candidates scoring between 520 - 529 points,"1,318",2.30%,"11,475",20.20%
Candidates scoring between 510 - 519 points,"1,075",1.90%,"12,550",22.10%
Candidates scoring between 500 - 509 points,"1,174",2.10%,"13,724",24.20%
Candidates scoring between 490 - 499 points,"1,457",2.60%,"15,181",26.70%
Candidates scoring between 480 - 489 points,"1,636",2.90%,"16,817",29.60%
Candidates scoring between 470 - 479 points,"1,710",3.00%,"18,527",32.60%
Candidates scoring between 460 - 469 points,"1,744",3.10%,"20,271",35.70%
Candidates scoring between 450 - 459 points,"1,739",3.10%,"22,010",38.80%
Candidates scoring between 440 - 449 points,"1,711",3.00%,"23,721",41.80%
Candidates scoring between 430 - 439 points,"1,549",2.70%,"25,270",44.50%
Candidates scoring between 420 - 429 points,"1,481",2.60%,"26,751",47.10%
Candidates scoring between 410 - 419 points,"1,407",2.50%,"28,158",49.60%
Candidates scoring between 400 - 409 points,"1,586",2.80%,"29,744",52.40%
Candidates scoring between 390 - 399 points,"1,532",2.70%,"31,276",55.10%
Candidates scoring between 380 - 389 points,"1,509",2.70%,"32,785",57.70%
Candidates scoring between 370 - 379 points,"1,444",2.50%,"34,229",60.30%
Candidates scoring between 360 - 369 points,"1,481",2.60%,"35,710",62.90%
Candidates scoring between 350 - 359 points,"1,350",2.40%,"37,060",65.30%
Candidates scoring between 340 - 349 points,"1,389",2.40%,"38,449",67.70%
Candidates scoring between 330 - 339 points,"1,338",2.40%,"39,787",70.10%
Candidates scoring between 320 - 329 points,"1,275",2.20%,"41,062",72.30%
Candidates scoring between 310 - 319 points,"1,202",2.10%,"42,264",74.40%
Candidates scoring between 300 - 309 points,"1,163",2.00%,"43,427",76.50%
Candidates scoring between 290 - 299 points,"1,138",2.00%,"44,565",78.50%
Candidates scoring between 280 - 289 points,"1,002",1.80%,"45,567",80.20%
Candidates scoring between 270 - 279 points,980,1.70%,"46,547",82.00%
Candidates scoring between 260 - 269 points,891,1.60%,"47,438",83.50%
Candidates scoring between 250 - 259 points,765,1.30%,"48,203",84.90%
Candidates scoring between 240 - 249 points,775,1.40%,"48,978",86.20%
Candidates scoring between 230 - 239 points,624,1.10%,"49,602",87.30%
Candidates scoring between 220 - 229 points,612,1.10%,"50,214",88.40%
Candidates scoring between 210 - 219 points,532,0.90%,"50,746",89.40%
Candidates scoring between 200 - 209 points,525,0.90%,"51,271",90.30%
Candidates scoring between 190 - 199 points,499,0.90%,"51,770",91.20%
Candidates scoring between 180 - 189 points,527,0.90%,"52,297",92.10%
Candidates scoring between 170 - 179 points,470,0.80%,"52,767",92.90%
Candidates scoring between 160 - 169 points,373,0.70%,"53,140",93.60%
Candidates scoring between 150 - 159 points,360,0.60%,"53,500",94.20%
Candidates scoring between 140 - 149 points,311,0.50%,"53,811",94.80%
Candidates scoring between 130 - 139 points,299,0.50%,"54,110",95.30%
Candidates scoring between 120 - 129 points,288,0.50%,"54,398",95.80%
Candidates scoring between 110 - 119 points,208,0.40%,"54,606",96.20%
Candidates scoring between 100 - 109 points,278,0.50%,"54,884",96.60%
Candidates scoring between 000 - 099 points,"1,903",3.40%,"56,787",100.00%
