Candidates scoring between 625 - 625 points,577,1.00%,577,1.00%
Candidates scoring between 610 - 624 points,577,1.00%,1154,2.00%
Candidates scoring between 600 - 609 points,658,1.10%,1812,3.10%
Candidates scoring between 590 - 599 points,243,0.40%,2055,3.60%
Candidates scoring between 580 - 589 points,544,0.90%,2599,4.50%
Candidates scoring between 570 - 579 points,862,1.50%,3461,6.00%
Candidates scoring between 560 - 569 points,990,1.70%,4451,7.70%
Candidates scoring between 550 - 559 points,"1,100",1.90%,5551,9.60%
Candidates scoring between 540 - 549 points,"1,293",2.20%,6844,11.90%
Candidates scoring between 530 - 539 points,"1,211",2.10%,8055,14.00%
Candidates scoring between 520 - 529 points,"1,306",2.30%,9361,16.30%
Candidates scoring between 510 - 519 points,821,1.40%,10182,17.70%
Candidates scoring between 500 - 509 points,"1,142",2.00%,11324,19.70%
Candidates scoring between 490 - 499 points,"1,597",2.80%,12921,22.40%
Candidates scoring between 480 - 489 points,"1,644",2.90%,14565,25.30%
Candidates scoring between 470 - 479 points,"1,696",2.90%,16261,28.20%
Candidates scoring between 460 - 469 points,"1,778",3.10%,18039,31.30%
Candidates scoring between 450 - 459 points,"1,710",3.00%,19749,34.30%
Candidates scoring between 440 - 449 points,"1,688",2.90%,21437,37.20%
Candidates scoring between 430 - 439 points,"1,382",2.40%,22819,39.60%
Candidates scoring between 420 - 429 points,"1,494",2.60%,24313,42.20%
Candidates scoring between 410 - 419 points,"1,475",2.60%,25788,44.80%
Candidates scoring between 400 - 409 points,"1,468",2.50%,27256,47.30%
Candidates scoring between 390 - 399 points,"1,490",2.60%,28746,49.90%
Candidates scoring between 380 - 389 points,"1,533",2.70%,30279,52.60%
Candidates scoring between 370 - 379 points,"1,479",2.60%,31758,55.20%
Candidates scoring between 360 - 369 points,"1,461",2.50%,33219,57.70%
Candidates scoring between 350 - 359 points,"1,394",2.40%,34613,60.10%
Candidates scoring between 340 - 349 points,"1,508",2.60%,36121,62.70%
Candidates scoring between 330 - 339 points,"1,423",2.50%,37544,65.20%
Candidates scoring between 320 - 329 points,"1,338",2.30%,38882,67.50%
Candidates scoring between 310 - 319 points,"1,348",2.30%,40230,69.90%
Candidates scoring between 300 - 309 points,"1,255",2.20%,41485,72.10%
Candidates scoring between 290 - 299 points,"1,182",2.10%,42667,74.10%
Candidates scoring between 280 - 289 points,"1,173",2.00%,43840,76.20%
Candidates scoring between 270 - 279 points,"1,091",1.90%,44931,78.00%
Candidates scoring between 260 - 269 points,"1,068",1.90%,45999,79.90%
Candidates scoring between 250 - 259 points,906,1.60%,46905,81.50%
Candidates scoring between 240 - 249 points,816,1.40%,47721,82.90%
Candidates scoring between 230 - 239 points,764,1.30%,48485,84.20%
Candidates scoring between 220 - 229 points,745,1.30%,49230,85.50%
Candidates scoring between 210 - 219 points,685,1.20%,49915,86.70%
Candidates scoring between 200 - 209 points,638,1.10%,50553,87.80%
Candidates scoring between 190 - 199 points,652,1.10%,51205,88.90%
Candidates scoring between 180 - 189 points,651,1.10%,51856,90.10%
Candidates scoring between 170 - 179 points,595,1.00%,52451,91.10%
Candidates scoring between 160 - 169 points,508,0.90%,52959,92.00%
Candidates scoring between 150 - 159 points,453,0.80%,53412,92.80%
Candidates scoring between 140 - 149 points,411,0.70%,53823,93.50%
Candidates scoring between 130 - 139 points,386,0.70%,54209,94.20%
Candidates scoring between 120 - 129 points,436,0.80%,54645,94.90%
Candidates scoring between 110 - 119 points,326,0.60%,54971,95.50%
Candidates scoring between 100 - 109 points,346,0.60%,55317,96.10%
Candidates scoring between 000 - 099 points,"2,252",3.90%,57569,100.00%
