Candidates scoring between 625 - 625 points,"1,342",2.30%,"1,342",2.30%
Candidates scoring between 610 - 624 points,946,1.60%,"2,288",3.90%
Candidates scoring between 600 - 609 points,"1,042",1.80%,"3,330",5.70%
Candidates scoring between 590 - 599 points,380,0.70%,"3,710",6.40%
Candidates scoring between 580 - 589 points,849,1.50%,"4,559",7.90%
Candidates scoring between 570 - 579 points,"1,293",2.20%,"5,852",10.10%
Candidates scoring between 560 - 569 points,"1,429",2.50%,"7,281",12.60%
Candidates scoring between 550 - 559 points,"1,475",2.50%,"8,756",15.10%
Candidates scoring between 540 - 549 points,"1,531",2.60%,"10,287",17.80%
Candidates scoring between 530 - 539 points,"1,478",2.60%,"11,765",20.30%
Candidates scoring between 520 - 529 points,"1,431",2.50%,"13,196",22.80%
Candidates scoring between 510 - 519 points,"1,002",1.70%,"14,198",24.50%
Candidates scoring between 500 - 509 points,"1,265",2.20%,"15,463",26.70%
Candidates scoring between 490 - 499 points,"1,701",2.90%,"17,164",29.60%
Candidates scoring between 480 - 489 points,"1,718",3.00%,"18,882",32.60%
Candidates scoring between 470 - 479 points,"1,774",3.10%,"20,656",35.60%
Candidates scoring between 460 - 469 points,"1,729",3.00%,"22,385",38.60%
Candidates scoring between 450 - 459 points,"1,750",3.00%,"24,135",41.60%
Candidates scoring between 440 - 449 points,"1,749",3.00%,"25,884",44.70%
Candidates scoring between 430 - 439 points,"1,396",2.40%,"27,280",47.10%
Candidates scoring between 420 - 429 points,"1,424",2.50%,"28,704",49.50%
Candidates scoring between 410 - 419 points,"1,398",2.40%,"30,102",51.90%
Candidates scoring between 400 - 409 points,"1,550",2.70%,"31,652",54.60%
Candidates scoring between 390 - 399 points,"1,428",2.50%,"33,080",57.10%
Candidates scoring between 380 - 389 points,"1,405",2.40%,"34,485",59.50%
Candidates scoring between 370 - 379 points,"1,376",2.40%,"35,861",61.90%
Candidates scoring between 360 - 369 points,"1,356",2.30%,"37,217",64.20%
Candidates scoring between 350 - 359 points,"1,358",2.30%,"38,575",66.60%
Candidates scoring between 340 - 349 points,"1,244",2.10%,"39,819",68.70%
Candidates scoring between 330 - 339 points,"1,238",2.10%,"41,057",70.80%
Candidates scoring between 320 - 329 points,"1,210",2.10%,"42,267",72.90%
Candidates scoring between 310 - 319 points,"1,139",2.00%,"43,406",74.90%
Candidates scoring between 300 - 309 points,"1,111",1.90%,"44,517",76.80%
Candidates scoring between 290 - 299 points,"1,053",1.80%,"45,570",78.60%
Candidates scoring between 280 - 289 points,"1,029",1.80%,"46,599",80.40%
Candidates scoring between 270 - 279 points,894,1.50%,"47,493",82.00%
Candidates scoring between 260 - 269 points,839,1.40%,"48,332",83.40%
Candidates scoring between 250 - 259 points,773,1.30%,"49,105",84.70%
Candidates scoring between 240 - 249 points,660,1.10%,"49,765",85.90%
Candidates scoring between 230 - 239 points,620,1.10%,"50,385",86.90%
Candidates scoring between 220 - 229 points,583,1.00%,"50,968",87.90%
Candidates scoring between 210 - 219 points,582,1.00%,"51,550",89.00%
Candidates scoring between 200 - 209 points,511,0.90%,"52,061",89.80%
Candidates scoring between 190 - 199 points,537,0.90%,"52,598",90.80%
Candidates scoring between 180 - 189 points,449,0.80%,"53,047",91.50%
Candidates scoring between 170 - 179 points,448,0.80%,"53,495",92.30%
Candidates scoring between 160 - 169 points,379,0.70%,"53,874",93.00%
Candidates scoring between 150 - 159 points,327,0.60%,"54,201",93.50%
Candidates scoring between 140 - 149 points,306,0.50%,"54,507",94.10%
Candidates scoring between 130 - 139 points,304,0.50%,"54,811",94.60%
Candidates scoring between 120 - 129 points,341,0.60%,"55,152",95.20%
Candidates scoring between 110 - 119 points,244,0.40%,"55,396",95.60%
Candidates scoring between 100 - 109 points,288,0.50%,"55,684",96.10%
Candidates scoring between 000 - 099 points,"2,268",3.90%,"57,952",100.00%
